"","danceability","energy","instrumentalness","liveness","mode","speechiness","tempo","valence","like"
"1377",0.54,0.408,0.000811,0.111,0,0.0457,159.813,0.655,0
"1534",0.55,0.249,0.828,0.258,0,0.0325,121.37,0.296,0
"979",0.555,0.699,0.00319,0.488,0,0.105,170.02,0.544,1
"1567",0.358,0.16,0.34,0.0896,0,0.0352,179.955,0.246,0
"42",0.76,0.402,0,0.333,1,0.164,147.028,0.069,1
"539",0.596,0.628,0.00767,0.187,0,0.0503,139.965,0.52,1
"1866",0.661,0.544,0.0222,0.0871,1,0.0304,139.012,0.307,0
"494",0.286,0.694,0.00252,0.0773,1,0.0335,169.904,0.411,1
"1529",0.479,0.146,0.692,0.103,1,0.0351,111.643,0.0728,0
"1458",0.641,0.676,0,0.152,1,0.0385,119.108,0.174,0
"165",0.557,0.608,0.0263,0.196,0,0.0862,109.67,0.211,1
"1851",0.701,0.383,0,0.0525,1,0.0284,135.877,0.241,0
"1636",0.719,0.81,0.672,0.5,0,0.0672,126.033,0.483,0
"1635",0.747,0.877,0.000833,0.233,0,0.0664,107.991,0.763,0
"438",0.633,0.884,1.93e-05,0.134,0,0.0369,111.98,0.455,1
"343",0.576,0.602,0.000609,0.144,0,0.315,141.345,0.57,1
"414",0.697,0.529,0.901,0.0895,1,0.0338,155.974,0.483,1
"1013",0.603,0.64,0,0.434,1,0.291,125.462,0.311,1
"1325",0.491,0.928,0.363,0.14,1,0.0938,132.973,0.14,0
"1246",0.534,0.508,0,0.0867,1,0.0322,153.947,0.407,0
"467",0.698,0.923,8.21e-06,0.296,0,0.316,95.009,0.779,1
"1581",0.677,0.738,0.000144,0.138,1,0.0467,98.963,0.561,0
"1784",0.439,0.906,0,0.373,1,0.0439,161.905,0.69,0
"1385",0.764,0.177,3.34e-05,0.121,0,0.0983,115.697,0.569,0
"831",0.571,0.836,0.0108,0.106,0,0.215,93.641,0.54,1
"435",0.356,0.872,0.00975,0.0997,1,0.068,166.3,0.592,1
"221",0.786,0.706,0.213,0.142,0,0.0537,120.011,0.318,1
"139",0.944,0.839,0,0.0921,1,0.108,136.019,0.891,1
"200",0.604,0.894,0,0.0299,1,0.037,145.014,0.893,1
"906",0.729,0.818,0.285,0.195,1,0.0732,125.811,0.909,1
"865",0.682,0.78,0.735,0.0862,1,0.0538,115.564,0.334,1
"1802",0.406,0.638,0,0.107,0,0.13,177.916,0.404,0
"73",0.683,0.708,2.08e-05,0.175,0,0.0289,106.446,0.967,1
"400",0.597,0.721,0.0119,0.188,1,0.0377,110.761,0.854,1
"1276",0.519,0.907,0,0.264,1,0.0444,147.957,0.603,0
"1703",0.672,0.396,0,0.0921,0,0.0349,130.015,0.464,0
"1106",0.724,0.84,0,0.727,1,0.0392,92.01,0.833,0
"57",0.646,0.629,0.277,0.122,0,0.0427,109.013,0.176,1
"1674",0.858,0.697,0,0.224,1,0.23,98.012,0.365,0
"1417",0.7,0.693,0,0.314,1,0.14,133.981,0.513,0
"17",0.603,0.955,0.0451,0.119,1,0.0458,123.922,0.773,1
"502",0.612,0.725,0.011,0.395,0,0.0966,195.972,0.153,1
"1908",0.639,0.849,0.02,0.15,0,0.0361,90.562,0.668,0
"605",0.962,0.592,0.642,0.134,0,0.108,130.684,0.361,1
"386",0.839,0.48,0.0505,0.0758,1,0.113,120.973,0.45,1
"536",0.465,0.633,0.79,0.105,0,0.0578,130.074,0.0451,1
"1222",0.548,0.532,0.000263,0.217,1,0.0323,85.03,0.428,0
"1842",0.24,0.16,0,0.0842,1,0.0301,92.742,0.199,0
"56",0.532,0.596,0,0.504,0,0.187,119.296,0.486,1
"1638",0.393,0.94,0.00264,0.546,0,0.0718,129.958,0.293,0
"685",0.64,0.888,8.01e-05,0.0584,0,0.169,87.93,0.664,1
"794",0.289,0.942,0.917,0.405,1,0.0519,137.281,0.302,1
"1406",0.524,0.392,0,0.363,0,0.0305,145.88,0.296,0
"946",0.646,0.757,0.0243,0.112,1,0.101,108.438,0.635,1
"1817",0.627,0.871,4.63e-06,0.23,0,0.0336,129.059,0.677,0
"1852",0.773,0.309,0.00014,0.111,0,0.0339,128.105,0.411,0
"363",0.784,0.803,1.57e-05,0.0773,0,0.0597,111.044,0.79,1
"977",0.709,0.669,0.0125,0.146,0,0.0409,105.004,0.106,1
"671",0.847,0.713,0,0.331,0,0.241,132.063,0.338,1
"1144",0.633,0.592,0,0.099,0,0.112,90.066,0.643,0
"652",0.931,0.415,0,0.059,1,0.293,97.995,0.614,1
"1546",0.484,0.0291,0.474,0.115,1,0.0459,98.434,0.38,0
"553",0.535,0.857,0.00751,0.472,0,0.0543,91.053,0.431,1
"1409",0.59,0.568,0.0562,0.106,1,0.0252,153.113,0.731,0
"1605",0.757,0.867,0.0992,0.125,0,0.0362,125.962,0.518,0
"1639",0.605,0.873,0.837,0.314,0,0.0344,126.026,0.47,0
"874",0.688,0.421,0.625,0.0734,0,0.0445,138,0.63,1
"1915",0.609,0.923,4.73e-06,0.295,1,0.0338,115.996,0.96,0
"1018",0.673,0.922,0,0.0924,1,0.217,140.008,0.364,1
"1686",0.351,0.915,0.0725,0.0972,0,0.0881,184.815,0.457,0
"1589",0.567,0.436,0,0.247,1,0.158,97.206,0.598,0
"1227",0.68,0.489,2.86e-05,0.606,0,0.432,74.04,0.261,0
"2011",0.624,0.971,0.121,0.255,0,0.0643,102.003,0.442,0
"319",0.331,0.957,0,0.102,0,0.0504,143.299,0.561,1
"1962",0.771,0.812,0.0013,0.37,0,0.133,97.721,0.524,0
"524",0.671,0.784,0.0121,0.231,0,0.0303,122.995,0.545,1
"1046",0.434,0.664,0,0.141,1,0.0346,145.861,0.478,0
"736",0.807,0.634,0.0288,0.0442,1,0.0727,94.242,0.674,1
"370",0.814,0.83,0.36,0.0899,0,0.0822,124.998,0.287,1
"1888",0.743,0.67,0.0702,0.22,0,0.0293,110.832,0.934,0
"972",0.76,0.79,0,0.268,1,0.344,94.017,0.57,1
"1527",0.296,0.0709,0.804,0.105,0,0.0312,95.028,0.066,0
"904",0.803,0.427,0.405,0.0953,1,0.0509,118.008,0.451,1
"54",0.313,0.77,0.0787,0.0873,1,0.0335,74.749,0.186,1
"496",0.246,0.843,0.241,0.137,1,0.0396,80.047,0.681,1
"1979",0.466,0.72,0,0.315,1,0.348,139.87,0.393,0
"1626",0.703,0.684,0.000378,0.0744,1,0.0778,126.027,0.222,0
"156",0.738,0.849,0.0317,0.309,1,0.0822,95.987,0.863,1
"1615",0.707,0.471,0.00839,0.179,1,0.0354,125.014,0.354,0
"1175",0.803,0.793,5.81e-05,0.154,1,0.0635,106.035,0.54,0
"1456",0.718,0.89,0.00103,0.341,1,0.144,124.943,0.304,0
"711",0.876,0.716,0.000482,0.0667,1,0.135,131.942,0.758,1
"1028",0.528,0.842,3e-05,0.117,1,0.0411,83.948,0.797,0
"1128",0.712,0.901,0,0.162,0,0.0595,97.98,0.84,0
"1854",0.739,0.947,2.99e-05,0.326,0,0.0412,88.009,0.762,0
"601",0.786,0.525,0.461,0.0876,0,0.0388,128.014,0.43,1
"499",0.715,0.518,0.772,0.0983,0,0.0699,129.87,0.923,1
"1457",0.871,0.893,0.852,0.0891,1,0.0403,126.016,0.639,0
"1647",0.516,0.786,1.77e-06,0.662,0,0.106,130.069,0.182,0
"603",0.765,0.891,0.0145,0.0293,0,0.0514,126.99,0.564,1
"927",0.582,0.401,0.538,0.157,1,0.028,112.357,0.414,1
"1071",0.555,0.896,0,0.145,1,0.0388,114.995,0.558,0
"162",0.563,0.81,2.71e-05,0.142,1,0.0372,99.996,0.767,1
"1519",0.456,0.257,0.475,0.111,0,0.0298,104.311,0.171,0
"506",0.646,0.778,0,0.0702,0,0.103,127.813,0.173,1
"615",0.808,0.593,2.07e-06,0.111,1,0.344,89.876,0.88,1
"599",0.864,0.86,0,0.183,1,0.178,140.029,0.883,1
"1476",0.723,0.784,0.772,0.0791,1,0.0334,128.027,0.382,0
"1480",0.615,0.638,0.00979,0.382,1,0.13,106.002,0.41,0
"1399",0.792,0.15,1.3e-05,0.0704,1,0.0486,83.625,0.33,0
"186",0.547,0.635,5.01e-06,0.0585,1,0.137,113.678,0.496,1
"678",0.872,0.541,0.000789,0.132,1,0.103,95.971,0.653,1
"833",0.793,0.607,4.95e-06,0.348,0,0.0821,140.992,0.16,1
"308",0.771,0.248,0.1,0.341,0,0.0802,139.937,0.281,1
"195",0.539,0.582,0.0717,0.15,1,0.0328,95.07,0.249,1
"777",0.706,0.707,0.000313,0.1,0,0.0351,144.877,0.246,1
"1332",0.387,0.967,0.226,0.337,0,0.128,129.904,0.0536,0
"923",0.529,0.571,6.34e-06,0.876,0,0.0298,102.428,0.104,1
"98",0.398,0.776,0.0172,0.303,0,0.0374,110.815,0.689,1
"640",0.797,0.508,0.00859,0.356,0,0.0455,118.032,0.958,1
"1724",0.583,0.681,6.03e-05,0.0999,0,0.0585,188.256,0.57,0
"1044",0.638,0.634,0,0.0866,1,0.0468,92.097,0.445,0
"964",0.785,0.796,0.291,0.108,0,0.0379,136.05,0.806,1
"1438",0.614,0.792,0,0.105,0,0.352,154.823,0.554,0
"1767",0.733,0.744,0,0.341,1,0.0553,92.515,0.528,0
"1365",0.483,0.524,0,0.0975,1,0.0261,91.878,0.519,0
"445",0.714,0.924,1.29e-05,0.91,0,0.0662,77.516,0.897,1
"1261",0.436,0.618,2.46e-06,0.177,0,0.0432,83.982,0.352,0
"1918",0.748,0.939,0,0.32,0,0.0341,104.001,0.962,0
"214",0.602,0.764,0.0053,0.0822,0,0.0435,105.997,0.468,1
"1622",0.539,0.936,0.104,0.106,1,0.112,128.015,0.211,0
"311",0.403,0.742,0,0.418,0,0.338,90.336,0.734,1
"1845",0.555,0.63,0.00681,0.336,1,0.0353,128.661,0.488,0
"422",0.68,0.489,2.86e-05,0.606,0,0.432,74.04,0.261,1
"563",0.759,0.764,0.719,0.116,0,0.0446,117.996,0.315,1
"1658",0.69,0.841,0.79,0.137,0,0.0868,130.052,0.533,0
"846",0.787,0.679,0.912,0.0618,1,0.0534,117.501,0.214,1
"1254",0.464,0.225,5.64e-06,0.116,1,0.0403,84.677,0.209,0
"905",0.757,0.868,0.00221,0.355,1,0.062,138.923,0.787,1
"930",0.622,0.752,0.0124,0.0443,0,0.124,126.047,0.576,1
"185",0.774,0.901,4.84e-06,0.873,0,0.216,128.024,0.768,1
"67",0.597,0.444,0.051,0.335,0,0.03,120.074,0.361,1
"1147",0.565,0.782,4.16e-05,0.0757,1,0.0506,140.004,0.392,0
"535",0.228,0.886,0.848,0.307,0,0.0497,165.201,0.499,1
"789",0.564,0.846,0.00175,0.0452,0,0.0437,122.035,0.695,1
"1660",0.719,0.737,0.00285,0.304,1,0.032,127.991,0.356,0
"1595",0.471,0.0148,0.934,0.181,1,0.0558,102.271,0.183,0
"894",0.906,0.648,0.0857,0.272,0,0.0734,123.98,0.646,1
"1772",0.635,0.54,0,0.0524,1,0.0246,99.99,0.586,0
"1027",0.548,0.877,8.22e-06,0.314,1,0.0367,84.009,0.694,0
"16",0.637,0.832,0.0563,0.316,1,0.163,99.988,0.317,1
"1731",0.571,0.447,0,0.125,1,0.0338,75.019,0.162,0
"812",0.665,0.513,0.303,0.122,1,0.331,100.344,0.0373,1
"1247",0.422,0.336,0,0.189,1,0.0306,108.009,0.0974,0
"1723",0.618,0.688,6.32e-06,0.3,0,0.0477,78.311,0.561,0
"1963",0.653,0.748,0,0.194,0,0.211,172.008,0.809,0
"677",0.766,0.453,3.49e-05,0.0923,0,0.067,100.002,0.346,1
"885",0.363,0.755,0.00105,0.084,0,0.12,114.407,0.736,1
"1838",0.421,0.407,0.000961,0.11,1,0.0267,139.028,0.168,0
"1841",0.677,0.437,0,0.0897,1,0.0322,108.054,0.455,0
"401",0.6,0.413,0.0289,0.109,1,0.0258,93.618,0.0768,1
"1520",0.421,0.0867,0.429,0.115,1,0.037,95.438,0.0718,0
"796",0.803,0.769,0.9,0.0683,1,0.0561,122.992,0.17,1
"1553",0.428,0.212,0.73,0.169,0,0.032,98.096,0.312,0
"1544",0.383,0.131,0.194,0.0973,1,0.033,98.606,0.0999,0
"455",0.795,0.578,0.743,0.115,0,0.0569,127.014,0.639,1
"1642",0.692,0.898,0.941,0.478,1,0.044,127.993,0.331,0
"786",0.227,0.635,0.125,0.117,1,0.0754,170.179,0.36,1
"217",0.901,0.744,7.79e-06,0.0964,1,0.283,135.95,0.606,1
"1108",0.817,0.869,0.00226,0.0497,1,0.18,96.029,0.56,0
"629",0.669,0.765,0,0.312,1,0.051,131.946,0.163,1
"504",0.754,0.877,0,0.0576,1,0.0586,132.033,0.557,1
"1954",0.653,0.933,0,0.0574,1,0.0522,132.965,0.413,0
"791",0.609,0.909,0.0785,0.262,0,0.0921,114.019,0.416,1
"1925",0.6,0.931,7.1e-05,0.392,1,0.0734,140.123,0.527,0
"372",0.823,0.768,1.03e-06,0.127,1,0.0819,115.021,0.207,1
"1126",0.67,0.679,0,0.168,1,0.118,172.069,0.794,0
"1206",0.755,0.832,1.27e-06,0.291,0,0.116,120.032,0.719,0
"1824",0.571,0.89,0,0.0769,1,0.0395,110.958,0.725,0
"1112",0.73,0.701,0,0.151,0,0.106,175.95,0.789,0
"1814",0.763,0.569,7.85e-05,0.0755,1,0.0401,122.988,0.751,0
"1509",0.414,0.469,0,0.0974,1,0.0485,139.401,0.322,0
"920",0.285,0.512,0,0.0842,1,0.0334,94.922,0.48,1
"1059",0.512,0.587,0,0.107,1,0.0291,134.006,0.313,0
"669",0.862,0.364,0,0.0688,0,0.137,97.51,0.766,1
"1370",0.657,0.427,0,0.109,1,0.0377,144.014,0.24,0
"1725",0.829,0.652,0,0.0812,0,0.108,99.581,0.717,0
"1455",0.519,0.829,0,0.0759,0,0.0901,123.659,0.629,0
"1890",0.42,0.672,0,0.108,1,0.027,168.019,0.459,0
"488",0.352,0.807,6.04e-06,0.0963,1,0.173,90.772,0.0459,1
"1748",0.634,0.624,0,0.0767,0,0.0255,167.992,0.668,0
"1732",0.873,0.591,0.0071,0.104,1,0.102,123.091,0.49,0
"120",0.746,0.873,0,0.354,1,0.128,148.075,0.808,1
"1023",0.631,0.716,0,0.0756,1,0.0432,88.541,0.637,0
"1813",0.586,0.637,2.97e-06,0.112,1,0.0274,88.025,0.331,0
"995",0.858,0.789,0,0.229,0,0.291,125.993,0.658,1
"984",0.667,0.658,0.00685,0.602,1,0.0756,91.98,0.36,1
"639",0.723,0.669,0.936,0.0751,0,0.0582,126.013,0.156,1
"821",0.523,0.863,0.204,0.113,0,0.0553,124.046,0.428,1
"1314",0.17,0.866,0.976,0.569,1,0.101,117.539,0.11,0
"1736",0.55,0.563,0,0.122,1,0.0313,166.004,0.462,0
"520",0.844,0.688,0.00351,0.104,0,0.291,96.671,0.747,1
"105",0.763,0.773,0.032,0.772,1,0.0533,130.025,0.347,1
"875",0.438,0.404,0.759,0.0767,0,0.0389,137.895,0.134,1
"1781",0.415,0.661,0,0.143,1,0.0296,156.177,0.283,0
"1381",0.214,0.484,9.66e-05,0.114,1,0.0324,81.625,0.267,0
"1477",0.522,0.86,0.0209,0.122,0,0.145,128.019,0.263,0
"1496",0.698,0.882,0,0.15,0,0.0863,106.083,0.462,0
"147",0.259,0.847,0.823,0.133,1,0.0332,150.162,0.682,1
"1105",0.685,0.731,0,0.0722,0,0.093,177.912,0.776,0
"879",0.71,0.959,2.1e-05,0.336,0,0.209,108.006,0.492,1
"1734",0.815,0.944,0.00038,0.181,1,0.0513,115.219,0.681,0
"357",0.293,0.792,0.0111,0.133,1,0.0363,161.933,0.696,1
"476",0.527,0.871,0.155,0.419,1,0.0354,120.722,0.12,1
"441",0.662,0.571,0.000197,0.0908,0,0.106,152.009,0.442,1
"1111",0.682,0.858,0,0.104,1,0.0708,94.954,0.772,0
"314",0.554,0.749,0.39,0.124,1,0.0266,168.045,0.824,1
"1338",0.399,0.877,0.358,0.677,0,0.0804,112.351,0.254,0
"857",0.616,0.943,1.67e-06,0.346,0,0.0444,129.963,0.802,1
"1188",0.828,0.433,0.000876,0.122,1,0.199,148.073,0.446,0
"1988",0.421,0.831,0,0.464,1,0.107,134.027,0.489,0
"672",0.654,0.794,0,0.127,1,0.322,96.973,0.464,1
"1149",0.622,0.593,0,0.175,0,0.0414,100.048,0.361,0
"62",0.559,0.656,0.000171,0.2,0,0.0469,79.638,0.671,1
"1751",0.66,0.707,0,0.211,1,0.208,89.279,0.779,0
"882",0.479,0.854,5.72e-05,0.372,1,0.0405,136.067,0.55,1
"715",0.907,0.616,0.425,0.11,0,0.0577,124.036,0.614,1
"1967",0.687,0.724,0,0.057,1,0.069,139.705,0.974,0
"1137",0.95,0.412,0,0.077,1,0.0731,121.019,0.741,0
"851",0.641,0.954,0.425,0.0535,0,0.0589,122.79,0.827,1
"1661",0.631,0.893,0.00632,0.147,1,0.0411,130.015,0.558,0
"1574",0.386,0.148,0.792,0.0665,0,0.0367,94.88,0.128,0
"1886",0.638,0.666,0.000843,0.111,0,0.0233,100.01,0.474,0
"664",0.786,0.604,0,0.102,1,0.0614,140.054,0.502,1
"309",0.69,0.548,0.00243,0.106,0,0.352,121.509,0.693,1
"281",0.706,0.643,0.00955,0.103,0,0.0859,160.026,0.808,1
"235",0.42,0.776,0.0107,0.248,1,0.0451,114.217,0.416,1
"111",0.431,0.678,6.37e-06,0.199,1,0.0365,135.919,0.632,1
"638",0.802,0.586,0.0212,0.0587,1,0.103,128.011,0.407,1
"1763",0.592,0.562,3.23e-05,0.223,0,0.0239,90.16,0.2,0
"329",0.672,0.527,0.26,0.0946,0,0.111,87.996,0.356,1
"1862",0.546,0.76,7.47e-05,0.0948,1,0.0428,151.456,0.461,0
"337",0.305,0.827,0.00245,0.335,1,0.147,159.882,0.463,1
"635",0.525,0.538,0.117,0.095,0,0.0783,175.953,0.791,1
"692",0.712,0.865,0.0412,0.121,1,0.083,113.015,0.831,1
"443",0.605,0.755,0.586,0.0937,1,0.0358,122.3,0.367,1
"1818",0.717,0.32,0,0.107,1,0.0283,107.946,0.331,0
"913",0.661,0.76,0.334,0.137,1,0.0918,111.165,0.975,1
"850",0.739,0.878,0.407,0.0477,0,0.0788,126.705,0.855,1
"1941",0.618,0.96,0,0.058,1,0.0327,131.988,0.949,0
"436",0.563,0.924,0.883,0.145,0,0.0511,94.057,0.6,1
"834",0.846,0.472,0.0398,0.1,0,0.0662,124.984,0.671,1
"1154",0.656,0.615,0,0.234,1,0.0539,139.91,0.364,0
